Decimal_OP1,Decimal_OP2,Decimal_OPT,SC_OP1,SC_OP2,SC_OPT,Error
0,0,0,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0],0.0,0.0
0,1,0,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 1],0.0,0.0
0,2,0,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 1],0.0,0.0
0,3,0,[0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1],0.0,0.0
0,4,0,[0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0],0.0,0.0
0,5,0,[0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 1],0.0,0.0
0,6,0,[0 0 0 0 0 0 0 0],[0 0 0 1 0 0 1 1],0.0,0.0
0,7,0,[0 0 0 0 0 0 0 0],[0 0 0 1 0 1 1 1],0.0,0.0
0,8,0,[0 0 0 0 0 0 0 0],[0 0 1 1 0 0 0 0],0.0,0.0
0,9,0,[0 0 0 0 0 0 0 0],[0 0 1 1 0 0 0 1],0.0,0.0
0,10,0,[0 0 0 0 0 0 0 0],[0 0 1 1 0 0 1 1],0.0,0.0
0,11,0,[0 0 0 0 0 0 0 0],[0 0 1 1 0 1 1 1],0.0,0.0
0,12,0,[0 0 0 0 0 0 0 0],[0 1 1 1 0 0 0 0],0.0,0.0
0,13,0,[0 0 0 0 0 0 0 0],[0 1 1 1 0 0 0 1],0.0,0.0
0,14,0,[0 0 0 0 0 0 0 0],[0 1 1 1 0 0 1 1],0.0,0.0
0,15,0,[0 0 0 0 0 0 0 0],[0 1 1 1 0 1 1 1],0.0,0.0
1,0,0,[0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0],0.0,0.0
1,1,1,[0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 1],0.25,0.01171875
1,2,2,[0 0 0 0 0 0 0 1],[0 0 0 0 0 0 1 1],0.25,0.0078125
1,3,3,[0 0 0 0 0 0 0 1],[0 0 0 0 0 1 1 1],0.25,0.00390625
1,4,4,[0 0 0 0 0 0 0 1],[0 0 0 1 0 0 0 0],1.0,0.046875
1,5,5,[0 0 0 0 0 0 0 1],[0 0 0 1 0 0 0 1],1.25,0.05859375
1,6,6,[0 0 0 0 0 0 0 1],[0 0 0 1 0 0 1 1],1.25,0.0546875
1,7,7,[0 0 0 0 0 0 0 1],[0 0 0 1 0 1 1 1],1.25,0.05078125
1,8,8,[0 0 0 0 0 0 0 1],[0 0 1 1 0 0 0 0],1.0,0.03125
1,9,9,[0 0 0 0 0 0 0 1],[0 0 1 1 0 0 0 1],1.25,0.04296875
1,10,10,[0 0 0 0 0 0 0 1],[0 0 1 1 0 0 1 1],1.25,0.0390625
1,11,11,[0 0 0 0 0 0 0 1],[0 0 1 1 0 1 1 1],1.25,0.03515625
1,12,12,[0 0 0 0 0 0 0 1],[0 1 1 1 0 0 0 0],1.0,0.015625
1,13,13,[0 0 0 0 0 0 0 1],[0 1 1 1 0 0 0 1],1.25,0.02734375
1,14,14,[0 0 0 0 0 0 0 1],[0 1 1 1 0 0 1 1],1.25,0.0234375
1,15,15,[0 0 0 0 0 0 0 1],[0 1 1 1 0 1 1 1],1.25,0.01953125
2,0,0,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0],0.0,0.0
2,1,2,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 1],0.25,0.0078125
2,2,4,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 1 1],0.5,0.015625
2,3,6,[0 0 0 0 0 0 1 1],[0 0 0 0 0 1 1 1],0.5,0.0078125
2,4,8,[0 0 0 0 0 0 1 1],[0 0 0 1 0 0 0 0],1.0,0.03125
2,5,10,[0 0 0 0 0 0 1 1],[0 0 0 1 0 0 0 1],1.25,0.0390625
2,6,12,[0 0 0 0 0 0 1 1],[0 0 0 1 0 0 1 1],1.5,0.046875
2,7,14,[0 0 0 0 0 0 1 1],[0 0 0 1 0 1 1 1],1.5,0.0390625
2,8,16,[0 0 0 0 0 0 1 1],[0 0 1 1 0 0 0 0],2.0,0.0625
2,9,18,[0 0 0 0 0 0 1 1],[0 0 1 1 0 0 0 1],2.25,0.0703125
2,10,20,[0 0 0 0 0 0 1 1],[0 0 1 1 0 0 1 1],2.5,0.078125
2,11,22,[0 0 0 0 0 0 1 1],[0 0 1 1 0 1 1 1],2.5,0.0703125
2,12,24,[0 0 0 0 0 0 1 1],[0 1 1 1 0 0 0 0],2.0,0.03125
2,13,26,[0 0 0 0 0 0 1 1],[0 1 1 1 0 0 0 1],2.25,0.0390625
2,14,28,[0 0 0 0 0 0 1 1],[0 1 1 1 0 0 1 1],2.5,0.046875
2,15,30,[0 0 0 0 0 0 1 1],[0 1 1 1 0 1 1 1],2.5,0.0390625
3,0,0,[0 0 0 0 0 1 1 1],[0 0 0 0 0 0 0 0],0.0,0.0
3,1,3,[0 0 0 0 0 1 1 1],[0 0 0 0 0 0 0 1],0.25,0.00390625
3,2,6,[0 0 0 0 0 1 1 1],[0 0 0 0 0 0 1 1],0.5,0.0078125
3,3,9,[0 0 0 0 0 1 1 1],[0 0 0 0 0 1 1 1],0.75,0.01171875
3,4,12,[0 0 0 0 0 1 1 1],[0 0 0 1 0 0 0 0],1.0,0.015625
3,5,15,[0 0 0 0 0 1 1 1],[0 0 0 1 0 0 0 1],1.25,0.01953125
3,6,18,[0 0 0 0 0 1 1 1],[0 0 0 1 0 0 1 1],1.5,0.0234375
3,7,21,[0 0 0 0 0 1 1 1],[0 0 0 1 0 1 1 1],1.75,0.02734375
3,8,24,[0 0 0 0 0 1 1 1],[0 0 1 1 0 0 0 0],2.0,0.03125
3,9,27,[0 0 0 0 0 1 1 1],[0 0 1 1 0 0 0 1],2.25,0.03515625
3,10,30,[0 0 0 0 0 1 1 1],[0 0 1 1 0 0 1 1],2.5,0.0390625
3,11,33,[0 0 0 0 0 1 1 1],[0 0 1 1 0 1 1 1],2.75,0.04296875
3,12,36,[0 0 0 0 0 1 1 1],[0 1 1 1 0 0 0 0],3.0,0.046875
3,13,39,[0 0 0 0 0 1 1 1],[0 1 1 1 0 0 0 1],3.25,0.05078125
3,14,42,[0 0 0 0 0 1 1 1],[0 1 1 1 0 0 1 1],3.5,0.0546875
3,15,45,[0 0 0 0 0 1 1 1],[0 1 1 1 0 1 1 1],3.75,0.05859375
4,0,0,[0 0 0 1 0 0 0 0],[0 0 0 0 0 0 0 0],0.0,0.0
4,1,4,[0 0 0 1 0 0 0 0],[0 0 0 0 0 0 0 1],1.0,0.046875
4,2,8,[0 0 0 1 0 0 0 0],[0 0 0 0 0 0 1 1],1.0,0.03125
4,3,12,[0 0 0 1 0 0 0 0],[0 0 0 0 0 1 1 1],1.0,0.015625
4,4,16,[0 0 0 1 0 0 0 0],[0 0 0 1 0 0 0 0],4.0,0.1875
4,5,20,[0 0 0 1 0 0 0 0],[0 0 0 1 0 0 0 1],5.0,0.234375
4,6,24,[0 0 0 1 0 0 0 0],[0 0 0 1 0 0 1 1],5.0,0.21875
4,7,28,[0 0 0 1 0 0 0 0],[0 0 0 1 0 1 1 1],5.0,0.203125
4,8,32,[0 0 0 1 0 0 0 0],[0 0 1 1 0 0 0 0],4.0,0.125
4,9,36,[0 0 0 1 0 0 0 0],[0 0 1 1 0 0 0 1],5.0,0.171875
4,10,40,[0 0 0 1 0 0 0 0],[0 0 1 1 0 0 1 1],5.0,0.15625
4,11,44,[0 0 0 1 0 0 0 0],[0 0 1 1 0 1 1 1],5.0,0.140625
4,12,48,[0 0 0 1 0 0 0 0],[0 1 1 1 0 0 0 0],4.0,0.0625
4,13,52,[0 0 0 1 0 0 0 0],[0 1 1 1 0 0 0 1],5.0,0.109375
4,14,56,[0 0 0 1 0 0 0 0],[0 1 1 1 0 0 1 1],5.0,0.09375
4,15,60,[0 0 0 1 0 0 0 0],[0 1 1 1 0 1 1 1],5.0,0.078125
5,0,0,[0 0 0 1 0 0 0 1],[0 0 0 0 0 0 0 0],0.0,0.0
5,1,5,[0 0 0 1 0 0 0 1],[0 0 0 0 0 0 0 1],1.25,0.05859375
5,2,10,[0 0 0 1 0 0 0 1],[0 0 0 0 0 0 1 1],1.25,0.0390625
5,3,15,[0 0 0 1 0 0 0 1],[0 0 0 0 0 1 1 1],1.25,0.01953125
5,4,20,[0 0 0 1 0 0 0 1],[0 0 0 1 0 0 0 0],5.0,0.234375
5,5,25,[0 0 0 1 0 0 0 1],[0 0 0 1 0 0 0 1],6.25,0.29296875
5,6,30,[0 0 0 1 0 0 0 1],[0 0 0 1 0 0 1 1],6.25,0.2734375
5,7,35,[0 0 0 1 0 0 0 1],[0 0 0 1 0 1 1 1],6.25,0.25390625
5,8,40,[0 0 0 1 0 0 0 1],[0 0 1 1 0 0 0 0],5.0,0.15625
5,9,45,[0 0 0 1 0 0 0 1],[0 0 1 1 0 0 0 1],6.25,0.21484375
5,10,50,[0 0 0 1 0 0 0 1],[0 0 1 1 0 0 1 1],6.25,0.1953125
5,11,55,[0 0 0 1 0 0 0 1],[0 0 1 1 0 1 1 1],6.25,0.17578125
5,12,60,[0 0 0 1 0 0 0 1],[0 1 1 1 0 0 0 0],5.0,0.078125
5,13,65,[0 0 0 1 0 0 0 1],[0 1 1 1 0 0 0 1],6.25,0.13671875
5,14,70,[0 0 0 1 0 0 0 1],[0 1 1 1 0 0 1 1],6.25,0.1171875
5,15,75,[0 0 0 1 0 0 0 1],[0 1 1 1 0 1 1 1],6.25,0.09765625
6,0,0,[0 0 0 1 0 0 1 1],[0 0 0 0 0 0 0 0],0.0,0.0
6,1,6,[0 0 0 1 0 0 1 1],[0 0 0 0 0 0 0 1],1.25,0.0546875
6,2,12,[0 0 0 1 0 0 1 1],[0 0 0 0 0 0 1 1],1.5,0.046875
6,3,18,[0 0 0 1 0 0 1 1],[0 0 0 0 0 1 1 1],1.5,0.0234375
6,4,24,[0 0 0 1 0 0 1 1],[0 0 0 1 0 0 0 0],5.0,0.21875
6,5,30,[0 0 0 1 0 0 1 1],[0 0 0 1 0 0 0 1],6.25,0.2734375
6,6,36,[0 0 0 1 0 0 1 1],[0 0 0 1 0 0 1 1],6.5,0.265625
6,7,42,[0 0 0 1 0 0 1 1],[0 0 0 1 0 1 1 1],6.5,0.2421875
6,8,48,[0 0 0 1 0 0 1 1],[0 0 1 1 0 0 0 0],6.0,0.1875
6,9,54,[0 0 0 1 0 0 1 1],[0 0 1 1 0 0 0 1],7.25,0.2421875
6,10,60,[0 0 0 1 0 0 1 1],[0 0 1 1 0 0 1 1],7.5,0.234375
6,11,66,[0 0 0 1 0 0 1 1],[0 0 1 1 0 1 1 1],7.5,0.2109375
6,12,72,[0 0 0 1 0 0 1 1],[0 1 1 1 0 0 0 0],6.0,0.09375
6,13,78,[0 0 0 1 0 0 1 1],[0 1 1 1 0 0 0 1],7.25,0.1484375
6,14,84,[0 0 0 1 0 0 1 1],[0 1 1 1 0 0 1 1],7.5,0.140625
6,15,90,[0 0 0 1 0 0 1 1],[0 1 1 1 0 1 1 1],7.5,0.1171875
7,0,0,[0 0 0 1 0 1 1 1],[0 0 0 0 0 0 0 0],0.0,0.0
7,1,7,[0 0 0 1 0 1 1 1],[0 0 0 0 0 0 0 1],1.25,0.05078125
7,2,14,[0 0 0 1 0 1 1 1],[0 0 0 0 0 0 1 1],1.5,0.0390625
7,3,21,[0 0 0 1 0 1 1 1],[0 0 0 0 0 1 1 1],1.75,0.02734375
7,4,28,[0 0 0 1 0 1 1 1],[0 0 0 1 0 0 0 0],5.0,0.203125
7,5,35,[0 0 0 1 0 1 1 1],[0 0 0 1 0 0 0 1],6.25,0.25390625
7,6,42,[0 0 0 1 0 1 1 1],[0 0 0 1 0 0 1 1],6.5,0.2421875
7,7,49,[0 0 0 1 0 1 1 1],[0 0 0 1 0 1 1 1],6.75,0.23046875
7,8,56,[0 0 0 1 0 1 1 1],[0 0 1 1 0 0 0 0],6.0,0.15625
7,9,63,[0 0 0 1 0 1 1 1],[0 0 1 1 0 0 0 1],7.25,0.20703125
7,10,70,[0 0 0 1 0 1 1 1],[0 0 1 1 0 0 1 1],7.5,0.1953125
7,11,77,[0 0 0 1 0 1 1 1],[0 0 1 1 0 1 1 1],7.75,0.18359375
7,12,84,[0 0 0 1 0 1 1 1],[0 1 1 1 0 0 0 0],7.0,0.109375
7,13,91,[0 0 0 1 0 1 1 1],[0 1 1 1 0 0 0 1],8.25,0.16015625
7,14,98,[0 0 0 1 0 1 1 1],[0 1 1 1 0 0 1 1],8.5,0.1484375
7,15,105,[0 0 0 1 0 1 1 1],[0 1 1 1 0 1 1 1],8.75,0.13671875
